Location,Latitude,Longitude
The Reform Club,51.506,-0.133
Dover,51.127,1.323
Calais,50.956,1.868
Lille,50.639,3.075
Gare du Nord,48.88,2.355
Gare de Lyon,48.844,2.374
Lyon,45.76,4.861
Turin,45.07,7.686
Brindisi,40.632,17.941
Port Said,31.274,32.328
Suez,29.925,32.553
Bab-el-Mandeb,12.583333,43.333333
Bombay,19.075,72.877
Calcutta,22.572,88.363
Hong Kong,22.283,114.158
Shanghai,31.23,121.473
Yokohama,35.443,139.638
San Francisco,37.774,-122.419
Oakland,37.808,-122.309
Richmond,37.936,-122.353
Davis,38.543,-121.737
Sacramento,38.584,-121.5
Roseville,38.75,-121.286
Colfax,39.099,-120.952
Truckee,39.327,-120.185
Reno,39.528,-119.811
Winnemucca,40.968,-117.732
Elko,40.836,-115.75
Salt Lake City,40.761,-111.908
Medicine Bow,41.895,-106.204
Omaha,41.252,-95.997
Creston,41.056,-94.361
Osceola,41.037,-93.764
Ottumwa,41.018,-92.414
Mt. Pleasant,40.971,-91.55
Galesburg,40.944,-90.363
Princeton,41.385,-89.466
Naperville,41.779,-88.145
Chicago,41.878,-87.629
South Bend,41.678,-86.287
Elkhart,41.68,-85.971
Waterloo,41.431,-85.025
Toledo,41.638,-83.541
Sandusky,41.44,-82.718
Elyria,41.37,-82.096
Cleveland,41.505,-81.696
Alliance,40.921,-81.092
Pittsburgh,40.444,-79.992
Greensburg,40.304,-79.546
Altoona,40.514,-78.401
Huntington,40.483,-78.011
Exton,40.0195,-75.621
Paoli,40.042,-75.483
Trenton,40.218,-74.754
Newark Penn,40.734,-74.164
New York City,40.75,-73.993
New York City ship terminal,40.767,-73.996
Cobh,51.85,-8.294
Cobh railway station,51.848,-8.3
Dublin Heuston,53.346,-6.294
Dublin ship terminal,53.349,-6.197
Liverpool ship terminal,53.443,-3.005
Liverpool railway station,53.404,-2.98
Euston Station,51.528,-0.133
The Reform Club,51.506,-0.133
