Location,Latitude,Longitude
Quixote's home,39.067,-3.122
Tomelloso,39.158,-3.021
Campo de Criptana,39.4,-3.125
El Toboso,39.513,-2.996
Los Hinojosos,39.603,-2.826
Belmonte,39.557,-2.705
Munera,39.042,-2.478
Villanueva de la Fuente,38.692,-2.695
Socuéllamos,39.284,-2.79
Pedernoso,39.483,-2.744
La Huojosa,39.728,-2.414
Canaveras,40.358,-2.395
Peñalén,40.666,-2.069
Fuembellida,40.754,-1.998
Daroca,41.114,-1.414
Northwest of Fuentes de Ebro,41.556,-0.685
Fraga,41.521,0.341
South of Lerida,41.552,0.619
Santa Coloma de Queralt,41.532,1.382
San Sadurnt,41.437,1.783
Barcelona,41.385,2.173
