Location,Latitude,Longitude
Chang an,34.341,108.939
Wuwei,37.928,102.642
An-hsi,40.52,95.782
Hami,42.818,93.515
Turfan,42.951,89.189
Karashahr,42.062,86.57
Kucha,41.631,82.897
Aksu,41.167,80.263
Tokmok,42.822,75.317
Tashkent,41.299,69.24
Samarkand,39.627,66.974
Kunduz,36.728,68.868
Balkh,36.755,66.897
Bamiyan,34.81,67.821
Kapisa,34.981,69.621
Nagaraha,34.419,70.472
Peshawar,34.015,71.524
Charsadda,34.148,71.737
Mankiala,35.222,72.425
Udyana,35.222,72.425
Source of the Swat River,35.87,72.513
Darel Valley,35.538,73.48
Source of the Swat River,35.87,72.513
Udyana,35.222,72.425
Mankiala,35.222,72.425
Hund,34.016,72.433
Taxila,33.746,72.839
Sirsukh,33.772,72.847
Bhallar Stupa,33.813,72.825
Sirsukh,33.772,72.847
Srinager,34.083,74.797
Chinabhutkti,30.933,74.622
Kulu Valley,31.964,77.115
Bairata,27.43,76.189
Mathura,27.492,77.673
Srughna,30.142,77.355
Matipura,28.594,78.271
Sankasya,27.334,79.27
Kanyakubja,26.46,80.36
Ayodhya,26.787,82.198
Kausambi,25.506,81.427
Ayodhya,26.787,82.198
Sravasti,27.503,82.036
Angulimala Stupa,27.517,82.049
Kapilavastu,27.654,82.993
Lumbini,27.679,83.507
Kushinagara (Kasia),26.739,83.886
Sarnath,25.376,83.022
Vaisali,25.683,85.354
Patailputra (Patna),25.594,85.137
Bodh Gaya,24.696,84.986
Nalanda,25.124,85.459
Kingdom of Irana,25.17,86.486
Samatata,23.044,90.07
Assam,26.2,92.937
Samatata,23.044,90.07
Tamrallipti,22.278,87.918
South Kosala,21.008,84.938
Andhra,16.757,81.679
Bezwada,16.506,80.648
Amaravati Stupa,16.575,80.356
Kurnool,15.828,78.037
Pallavolu,14.651,79.32
Kanchipuram,12.834,79.703
tidying,16.265,75.084
Nasik,19.997,73.789
Ajanta,20.551,75.703
Bharuch,21.705,72.995
Malva,22.768,73.131
Kathiawar Peninsula,21.72,70.758
Multan,30.157,71.524
Taxila --,33.723,72.803
Peshawar,34.015,71.524
Jalalabad,34.419,70.472
Kapisa,34.981,69.621
Bamiyan,34.81,67.821
Balkh,36.755,66.897
Kunduz,36.728,68.868
Feyzabad,37.101,70.555
Tashkurghan,37.772,75.229
Kashgar,39.467,75.993
Hotan,37.114,79.922
Niya,37.067,82.696
Qiemo,38.145,85.529
Ruoqiang,39.024,88.166
Dunhuang,40.142,94.661
An-hsi --,40.52,95.782
Wuwei,37.928,102.642
Chang'an,34.341,108.939
