Location,Latitude,Longitude
Hannibal,39.708,-91.358
Jackson's Island,39.706,-91.334
,39.273,-90.76
,39.04,-90.702
,38.868,-90.573
,38.962,-90.424
,38.847,-90.109
,38.721,-90.188
St. Louis,38.623,-90.18
,38.341,-90.365
,38.181,-90.321
,37.694,-89.517
,37.539,-89.516
,37.43,-89.436
,37.341,-89.439
,37.314,-89.509
,37.254,-89.512
,37.088,-89.377
,37.049,-89.384
,36.998,-89.301
,37.022,-89.258
,37.058,-89.308
,37.088,-89.269
,37.016,-89.199
,36.975,-89.186
Cairo,36.982,-89.122
,36.959,-89.099
,36.578,-89.213
,36.566,-89.265
,36.603,-89.31
,36.459,-89.482
,36.556,-89.472
,36.578,-89.524
,36.544,-89.566
,36.473,-89.522
,36.359,-89.522
,36.332,-89.613
,36.259,-89.567
,36.235,-89.685
,36.138,-89.589
,35.969,-89.717
Hales Point,35.9,-89.665
,35.907,-89.736
,35.863,-89.766
,35.825,-89.703
,35.718,-89.935
,35.519,-89.906
,35.346,-90.094
Memphis,35.162,-90.062
,35.119,-90.09
,35.129,-90.15
,34.735,-90.563
,34.41,-90.586
,34.36,-90.766
,34.127,-90.954
,34.035,-90.892
,33.965,-91.087
,33.929,-91.016
,33.787,-91.044
,33.686,-91.224
,33.604,-91.131
,33.563,-91.229
,33.469,-91.122
Greenville,33.429,-91.118
