Location,Latitude,Longitude
Sallisaw,35.46,-94.787
,35.49,-94.994
,35.48,-95.289
,35.457,-95.384
,35.459,-95.619
,35.422,-96.295
Paden,35.507,-96.567
Bethany,35.518,-97.632
,35.533,-98.68
,35.384,-99.511
,35.269,-99.631
Adrian,35.27,-102.666
Santa Rosa,34.946,-104.676
,34.963,-104.741
Moriarty,35.004,-106.013
,35.532,-108.705
,34.912,-110.157
,35.216,-111.552
,35.171,-111.654
Seligman,35.322,-112.905
Hilltop,35.214,-114.048
,34.809,-114.148
,34.725,-114.542
Needles,34.848,-114.614
,34.89,-114.7
,34.725,-116.16
Daggett,34.864,-116.888
Barstow,34.895,-117.017
Tehachap,35.132,-118.448
Bakersfield,35.373,-119.018
,37.741,-121.558
San Francisco,37.774,-122.419
