Location,Latitude,Longitude
Victoria Station,51.49521,-0.14390
Sevenoaks,51.27241,0.19090
Dover,51.12788,1.31340
Calais,50.95129,1.85869
Gare de Lyon,48.84430,2.37438
Vevey,46.46273,6.84243
Montreaux,46.43600,6.91028
Milan,45.46542,9.18592
Trieste,45.64953,13.77682
Sezana,45.70935,13.87382
Blue Mosque,41.00541,28.97681
Topkapi Sarayi,41.01152,28.98338
Sirkeci railway station,41.01497,28.97647
Haydarpasa Station,40.99683,29.01929
Kayseri,38.72049,35.48260
Lake Van,38.61399,42.91815
Peshawar Cantonment railway station,34.00232,71.55019
Mathura Junction,27.48038,77.67210
Thazi,20.86176,96.05204
Tokyo,35.70903,139.73199
Nakhodka,42.82228,132.88340
Chita,52.02831,113.49528
Omsk,54.98848,73.32424
Moscow,55.75583,37.61730
Warsaw,52.22968,21.01223
Berlin,52.52001,13.40495
Amsterdam,52.37022,4.89517
