Location,Latitude,Longitude
,45.44,12.315
,40.166,18.652
,35.012,21.989
,32.933,35.082
,31.768,35.213
,32.933,35.102
,35.724,34.719
,36.482,34.17
,41.002,39.716
,39.905,41.265
,38.096,46.273
,27.192,56.289
,30.283,57.083
,36.755,66.897
,39.467,75.993
,37.114,79.922
,40.142,94.661
,39.732,98.494
,38.925,100.449
,36.061,103.834
,42.34,116.193
,39.904,116.407
,30.274,120.155
,24.874,118.675
,24.744,118.857
,24.634,118.872
,16.049,108.245
,16.045,108.505
,15.114,109.396
,12.093,109.747
,1.288,104.385
,1.095,103.577
,2.803,100.57
,2.7,100.069
,3.107,100.159
,5.659,97.723
,7.64,93.551
,10.316,79.376
,9.126,79.542
,7.814,78.066
,7.95,76.865
,15.347,73.311
,19.352,72.322
,25.671,57.123
,27.192,56.305
,38.096,46.293
,39.905,41.285
,41.002,39.766
,41.918,38.77
,42.472,32.442
,41.236,29.14
,41.008,28.978
,40.691,27.425
,40.406,26.72
,40.2,26.39
,40.124,26.383
,39.936,25.938
,37.575,24.485
,36.004,23.197
,36.421,21.187
,40.597,18.605
,45.44,12.315
