Location,Latitude,Longitude,CheckpointNotes
The Reform Club,51.506,-0.133,Start
Dover,51.127,1.323
Port of Calais,50.966,1.862
Les Fontinettes station,50.941,1.850
Saint-Omer,50.754,2.252
Hazebrouck,50.727,2.543
Bailleul,50.736,2.736
Lille-Flandres station,50.637,3.070
Douai,50.372,3.090
Arras,50.287,2.781
Longueau,49.863,2.352
Creil,49.264,2.469
Gare du Nord,48.880,2.355
Gare de Lyon,48.844,2.374
Melun,48.528,2.655
Moret–Veneux-les-Sablons,48.378,2.799
Montereau,48.380,2.943
Sens,48.198,3.268
Laroche-Migennes,47.961,3.513
Montbard,47.619,4.336
Dijon,47.324,5.027
Chagny,46.907,4.750
Chalon-sur-Saône,46.782,4.843
Mâcon-Ville,46.303,4.825
Lyon-Perrache,45.745,4.820
Culoz,45.843,5.779
Modane,45.194,6.659
Susa,45.139,7.048
Turin,45.070,7.686
Piacenza,45.052,9.706
Bologna,44.495,11.343
Pesaro,43.906,12.906
Ancona,43.607,13.498
Termoli,42.001,14.995
Foggia,41.462,15.545
Barletta ,41.320,16.284
Bari,41.117,16.872
Brindisi,40.632,17.941
Port Said,31.274,32.328
Suez,29.925,32.553
Bab-el-Mandeb,12.583,43.333
Aden,12.800,45.033
Bombay,19.075,72.877
Allahabad,25.436,81.846
Calcutta,22.572,88.363
Singapore,1.352,103.820
Hong Kong,22.283,114.158
Shanghai,31.230,121.473
Yokohama,35.443,139.638
San Francisco,37.774,-122.419
Oakland,37.808,-122.309
Richmond,37.936,-122.353
Davis,38.543,-121.737
Sacramento,38.584,-121.500
Roseville,38.750,-121.286
Colfax,39.099,-120.952
Truckee,39.327,-120.185
Reno,39.528,-119.811
Winnemucca,40.968,-117.732
Elko,40.836,-115.750
Salt Lake City,40.761,-111.908
Medicine Bow,41.895,-106.204
Omaha,41.252,-95.997
Creston,41.056,-94.361
Osceola,41.037,-93.764
Ottumwa,41.018,-92.414
Mt. Pleasant,40.971,-91.550
Galesburg,40.944,-90.363
Princeton,41.385,-89.466
Naperville,41.779,-88.145
Chicago,41.878,-87.629
South Bend,41.678,-86.287
Elkhart,41.680,-85.971
Waterloo,41.431,-85.025
Toledo,41.638,-83.541
Sandusky,41.440,-82.718
Elyria,41.370,-82.096
Cleveland,41.505,-81.696
Alliance,40.921,-81.092
Pittsburgh,40.444,-79.992
Greensburg,40.304,-79.546
Altoona,40.514,-78.401
Huntington,40.483,-78.011
Exton,40.020,-75.621
Paoli,40.042,-75.483
Trenton,40.218,-74.754
Newark Penn,40.734,-74.164
New York City,40.750,-73.993
New York City ship terminal,40.767,-73.996
Cobh,51.850,-8.294
Cobh railway station,51.848,-8.300
Dublin Heuston,53.346,-6.294
Dublin ship terminal,53.349,-6.197
Liverpool ship terminal,53.443,-3.005
Liverpool railway station,53.404,-2.980
Euston Station,51.528,-0.133
The Reform Club,51.506,-0.133,Finish
